	MX y nm - OP		MX ynm - IP		MX y+0.2 nm - OP		MX y+0.2nm - IP		MX y+0.4nm - OP		MX y+0.4nm - IP		MX y+0.6 nm - OP		MX y+0.6nm - IP
7032.865	1182.799063	9071.338	2556.057813	7032.651	407.59	9070.845	648.5538542	7032.469	157.0789063	9070.382	458.4247656	7032.413	523.3708333	9069.989	652.4041667
7007.699	1101.97	9020.953	2450.5375	7007.871	396.3660417	9020.566	627.2238542	7007.339	156.9233594	9021.277	463.7314844	7007.191	532.4786458	9020.239	659.165625
6982.699	1053.282813	8971.616	2403.335938	6982.883	393.3467708	8970.206	638.1701042	6982.554	159.4349219	8970.713	452.84	6982.275	532.3588542	8969.739	657.2270833
6958.099	1066.632188	8920.922	2497.241875	6957.892	405.7546875	8920.094	687.7504167	6957.552	160.4244531	8919.702	415.3135938	6957.552	539.2333333	8919.545	633.2859375
6933.05	1114.09125	8870.133	2412.626563	6932.725	406.2346875	8869.899	649.085	6932.645	184.9864063	8869.692	412.9703906	6932.488	534.3458333	8869.379	642.68125
6908.18	1181.960938	8820.81	2370.4775	6907.568	432.3161458	8820.104	677.0167708	6907.793	193.9042969	8820.129	465.0303906	6907.729	536.6020833	8819.513	653.1625
6883.022	1260.535313	8770.282	2503.02875	6882.661	432.6748958	8770.178	653.2567708	6882.639	190.8496094	8769.929	458.9064844	6882.497	529.5807292	8769.795	648.3963542
6857.764	1294.814063	8720.048	2538.410938	6857.871	404.9940625	8720.289	679.8975	6857.664	183.4277344	8720.24	468.9407031	6857.487	517.4125521	8719.518	631.09375
6832.532	1184.35625	8669.477	2372.032813	6832.613	406.7211458	8670.132	669.86	6832.738	182.1185156	8670.392	444.7816406	6832.293	531.85	8668.934	628.9932292
6807.754	1121.298438	8620.142	2329.009063	6807.466	405.8603125	8619.956	654.786875	6807.747	162.45625	8620.269	452.6971875	6807.545	520.5507292	8619.928	646.1828125
6782.949	1061.6	8570.06	2428.239688	6782.842	391.2511458	8569.761	640.559375	6782.839	149.3409375	8570.573	467.2560156	6782.469	527.3854167	8569.878	654.4125
6757.967	1048.552813	8519.811	2530.221563	6757.948	391.5794792	8519.34	652.2445833	6757.645	159.3349219	8519.63	430.9239063	6757.562	536.8354167	8519.184	643.8427083
6732.902	1084.686563	8469.888	2468.153438	6733.013	402.9553125	8469.622	658.2135417	6732.626	167.7057031	8469.334	418.19	6732.645	532.7916667	8468.966	643.1947917
6707.958	1159.51125	8419.838	2562.260313	6707.559	418.76	8419.151	699.0785417	6707.33	185.2475	8420.046	421.63375	6707.469	543.175	8419.768	650.671875
6682.849	1220.952813	8369.978	2384.60125	6682.735	423.0304167	8369.206	691.1244792	6682.497	186.7192188	8369.769	447.5446094	6682.182	543.2859375	8369.881	658.6505208
6657.643	1203.286563	8319.547	2184.55375	6657.568	428.385625	8318.792	656.0686458	6657.583	190.2645313	8319.546	418.0994531	6657.423	522.3265625	8319.101	672.5739583
6632.764	1221.63375	8269.755	2299.550625	6632.71	429.7073958	8269.316	664.5942708	6632.396	170.2848438	8269.796	425.2735938	6632.395	520.9765625	8269.579	654.7463542
6607.791	1182.910313	8219.133	2402.900938	6607.893	383.1875	8218.816	657.0433333	6607.154	150.5448438	8219.344	429.6995313	6607.117	530.8057292	8218.156	635.1041667
6582.93	1070.713438	8169.754	2539.013438	6582.541	389.4136458	8168.624	633.3239583	6582.309	147.1828906	8168.713	457.786875	6582.164	538.9197917	8169.017	645.9354167
